,grupo,linhas,marcador,dados,nulos,min,max,media,variancia
62,thyroid-like follicular carcinoma of kidney,1,CD14:B,0,1,,,0.0,0
63,thyroid-like follicular carcinoma of kidney,1,CD15:B,0,1,,,0.0,0
64,thyroid-like follicular carcinoma of kidney,1,CD16:B,0,1,,,0.0,0
65,thyroid-like follicular carcinoma of kidney,1,CD19:B,0,1,,,0.0,0
66,thyroid-like follicular carcinoma of kidney,1,CD19_CD4:B,0,1,,,0.0,0
67,thyroid-like follicular carcinoma of kidney,1,CD19+TCRGD:B,1,0,307.49,307.49,307.49,0
68,thyroid-like follicular carcinoma of kidney,1,CD1a:B,0,1,,,0.0,0
69,thyroid-like follicular carcinoma of kidney,1,CD2:B,0,1,,,0.0,0
70,thyroid-like follicular carcinoma of kidney,1,CD20:B,0,1,,,0.0,0
71,thyroid-like follicular carcinoma of kidney,1,CD20+CD4:B,1,0,812.75,812.75,812.75,0
72,thyroid-like follicular carcinoma of kidney,1,CD21:B,0,1,,,0.0,0
73,thyroid-like follicular carcinoma of kidney,1,CD22:B,0,1,,,0.0,0
74,thyroid-like follicular carcinoma of kidney,1,CD24:B,0,1,,,0.0,0
75,thyroid-like follicular carcinoma of kidney,1,CD271:B,0,1,,,0.0,0
76,thyroid-like follicular carcinoma of kidney,1,CD28:B,0,1,,,0.0,0
77,thyroid-like follicular carcinoma of kidney,1,CD3:B,1,0,163.77,163.77,163.77,0
78,thyroid-like follicular carcinoma of kidney,1,CD30:B,0,1,,,0.0,0
79,thyroid-like follicular carcinoma of kidney,1,CD309:B,0,1,,,0.0,0
80,thyroid-like follicular carcinoma of kidney,1,CD34:B,0,1,,,0.0,0
81,thyroid-like follicular carcinoma of kidney,1,CD38:B,1,0,735.47,735.47,735.47,0
82,thyroid-like follicular carcinoma of kidney,1,CD4:B,0,1,,,0.0,0
83,thyroid-like follicular carcinoma of kidney,1,CD44:B,0,1,,,0.0,0
84,thyroid-like follicular carcinoma of kidney,1,CD45:B,1,0,3286.04,3286.04,3286.04,0
85,thyroid-like follicular carcinoma of kidney,1,CD5:B,1,0,574.38,574.38,574.38,0
86,thyroid-like follicular carcinoma of kidney,1,CD56:B,1,0,-8.85,-8.85,-8.85,0
87,thyroid-like follicular carcinoma of kidney,1,CD56+IgK:B,1,0,8032.19,8032.19,8032.19,0
88,thyroid-like follicular carcinoma of kidney,1,CD57:B,0,1,,,0.0,0
89,thyroid-like follicular carcinoma of kidney,1,CD58:B,0,1,,,0.0,0
90,thyroid-like follicular carcinoma of kidney,1,CD7:B,0,1,,,0.0,0
91,thyroid-like follicular carcinoma of kidney,1,CD71:B,0,1,,,0.0,0
92,thyroid-like follicular carcinoma of kidney,1,CD8:B,0,1,,,0.0,0
93,thyroid-like follicular carcinoma of kidney,1,CD8+IgL:B,1,0,580.34,580.34,580.34,0
94,thyroid-like follicular carcinoma of kidney,1,CD81:B,0,1,,,0.0,0
95,thyroid-like follicular carcinoma of kidney,1,CD8-CD99:B,1,0,483.6,483.6,483.6,0
96,thyroid-like follicular carcinoma of kidney,1,CD9:B,0,1,,,0.0,0
97,thyroid-like follicular carcinoma of kidney,1,CD90:B,0,1,,,0.0,0
98,thyroid-like follicular carcinoma of kidney,1,CD99:B,0,1,,,0.0,0
99,thyroid-like follicular carcinoma of kidney,1,cyCD3:B,0,1,,,0.0,0
100,thyroid-like follicular carcinoma of kidney,1,cyCD3+CD19:B,1,0,2071.45,2071.45,2071.45,0
101,thyroid-like follicular carcinoma of kidney,1,cyCD79a:B,0,1,,,0.0,0
102,thyroid-like follicular carcinoma of kidney,1,EPCAM:B,0,1,,,0.0,0
103,thyroid-like follicular carcinoma of kidney,1,Epcam+CD4:B,1,0,290.38,290.38,290.38,0
104,thyroid-like follicular carcinoma of kidney,1,FSC-A:B,1,0,75277.02,75277.02,75277.02,0
105,thyroid-like follicular carcinoma of kidney,1,FSC-H:B,1,0,66134.0,66134.0,66134.0,0
106,thyroid-like follicular carcinoma of kidney,1,GD2:B,1,0,146.89,146.89,146.89,0
107,thyroid-like follicular carcinoma of kidney,1,HLADR:B,0,1,,,0.0,0
108,thyroid-like follicular carcinoma of kidney,1,MPO:B,0,1,,,0.0,0
109,thyroid-like follicular carcinoma of kidney,1,nuMIOGENIN:B,1,0,157.01,157.01,157.01,0
