,grupo,linhas,marcador,dados,nulos,min,max,media,variancia
337,vascular tumor,2,nuMIOGENIN:MSC,0,2,,,0.0,0.0
338,vascular tumor,2,nuMYOD:MSC,0,2,,,0.0,0.0
339,vascular tumor,2,OCT3/4:MSC,0,2,,,0.0,0.0
340,vascular tumor,2,SSC-A:MSC,0,2,,,0.0,0.0
341,vascular tumor,2,SSC-H:MSC,0,2,,,0.0,0.0
342,vascular tumor,2,BV421:MO,0,2,,,0.0,0.0
343,vascular tumor,2,CD10:MO,2,0,388.6,488.44,438.52,4984.0128
344,vascular tumor,2,CD105:MO,0,2,,,0.0,0.0
345,vascular tumor,2,CD117:MO,1,1,107.84,107.84,107.84,0.0
346,vascular tumor,2,CD123:MO,0,2,,,0.0,0.0
347,vascular tumor,2,CD14:MO,0,2,,,0.0,0.0
348,vascular tumor,2,CD15:MO,0,2,,,0.0,0.0
349,vascular tumor,2,CD16:MO,0,2,,,0.0,0.0
350,vascular tumor,2,CD19:MO,1,1,324.36,324.36,324.36,0.0
351,vascular tumor,2,CD19_CD4:MO,0,2,,,0.0,0.0
352,vascular tumor,2,CD19+TCRGD:MO,0,2,,,0.0,0.0
353,vascular tumor,2,CD1a:MO,0,2,,,0.0,0.0
354,vascular tumor,2,CD2:MO,0,2,,,0.0,0.0
355,vascular tumor,2,CD20:MO,1,1,1735.77,1735.77,1735.77,0.0
356,vascular tumor,2,CD20+CD4:MO,0,2,,,0.0,0.0
357,vascular tumor,2,CD21:MO,0,2,,,0.0,0.0
358,vascular tumor,2,CD22:MO,0,2,,,0.0,0.0
359,vascular tumor,2,CD24:MO,0,2,,,0.0,0.0
360,vascular tumor,2,CD271:MO,1,1,351.71,351.71,351.71,0.0
361,vascular tumor,2,CD28:MO,0,2,,,0.0,0.0
362,vascular tumor,2,CD3:MO,1,1,323.01,323.01,323.01,0.0
363,vascular tumor,2,CD30:MO,0,2,,,0.0,0.0
364,vascular tumor,2,CD309:MO,0,2,,,0.0,0.0
365,vascular tumor,2,CD34:MO,1,1,413.65,413.65,413.65,0.0
366,vascular tumor,2,CD38:MO,2,0,1446.59,92645.59,47046.09,4158628800.5
367,vascular tumor,2,CD4:MO,1,1,7165.94,7165.94,7165.94,0.0
368,vascular tumor,2,CD44:MO,1,1,3551.47,3551.47,3551.47,0.0
369,vascular tumor,2,CD45:MO,2,0,56.79,11593.88,5825.335,66552222.834
370,vascular tumor,2,CD5:MO,0,2,,,0.0,0.0
371,vascular tumor,2,CD56:MO,2,0,183.78,4283.02,2233.4,8401884.2888
372,vascular tumor,2,CD56+IgK:MO,0,2,,,0.0,0.0
373,vascular tumor,2,CD57:MO,0,2,,,0.0,0.0
374,vascular tumor,2,CD58:MO,0,2,,,0.0,0.0
375,vascular tumor,2,CD7:MO,0,2,,,0.0,0.0
376,vascular tumor,2,CD71:MO,0,2,,,0.0,0.0
377,vascular tumor,2,CD8:MO,1,1,277.91,277.91,277.91,0.0
378,vascular tumor,2,CD8+IgL:MO,0,2,,,0.0,0.0
379,vascular tumor,2,CD81:MO,0,2,,,0.0,0.0
380,vascular tumor,2,CD8-CD99:MO,0,2,,,0.0,0.0
381,vascular tumor,2,CD9:MO,0,2,,,0.0,0.0
382,vascular tumor,2,CD90:MO,1,1,-395.55,-395.55,-395.55,0.0
383,vascular tumor,2,CD99:MO,1,1,249.51,249.51,249.51,0.0
