,grupo,linhas,marcador,dados,nulos,min,max,media,variancia
358,rhabdomyosarcoma,7,CD22:MO,0,7,,,0.0,0.0
359,rhabdomyosarcoma,7,CD24:MO,0,7,,,0.0,0.0
360,rhabdomyosarcoma,7,CD271:MO,1,6,78.32,78.32,78.32,0.0
361,rhabdomyosarcoma,7,CD28:MO,0,7,,,0.0,0.0
362,rhabdomyosarcoma,7,CD3:MO,3,4,53.12,212.62,153.403333333,7624.91583333
363,rhabdomyosarcoma,7,CD30:MO,0,7,,,0.0,0.0
364,rhabdomyosarcoma,7,CD309:MO,1,6,59.42,59.42,59.42,0.0
365,rhabdomyosarcoma,7,CD34:MO,2,5,208.99,368.56,288.775,12731.29245
366,rhabdomyosarcoma,7,CD38:MO,3,4,1287.52,3161.64,2429.57,1004144.1439
367,rhabdomyosarcoma,7,CD4:MO,2,5,2186.72,9562.83,5874.775,27203499.3661
368,rhabdomyosarcoma,7,CD44:MO,2,5,4252.71,5860.3,5056.505,1292172.80405
369,rhabdomyosarcoma,7,CD45:MO,4,3,1343.1,6346.32,4376.5075,4574402.10622
370,rhabdomyosarcoma,7,CD5:MO,0,7,,,0.0,0.0
371,rhabdomyosarcoma,7,CD56:MO,4,3,87.84,273.46,180.39,6733.80326667
372,rhabdomyosarcoma,7,CD56+IgK:MO,0,7,,,0.0,0.0
373,rhabdomyosarcoma,7,CD57:MO,3,4,98.18,142.76,124.23,539.2569
374,rhabdomyosarcoma,7,CD58:MO,2,5,1147.51,3657.78,2402.645,3150727.73645
375,rhabdomyosarcoma,7,CD7:MO,1,6,153.42,153.42,153.42,0.0
376,rhabdomyosarcoma,7,CD71:MO,1,6,286.94,286.94,286.94,0.0
377,rhabdomyosarcoma,7,CD8:MO,2,5,59.84,326.42,193.13,35532.4482
378,rhabdomyosarcoma,7,CD8+IgL:MO,0,7,,,0.0,0.0
379,rhabdomyosarcoma,7,CD81:MO,4,3,1440.32,21413.31,7096.18,92429756.9717
380,rhabdomyosarcoma,7,CD8-CD99:MO,0,7,,,0.0,0.0
381,rhabdomyosarcoma,7,CD9:MO,3,4,375.76,3667.77,1622.19333333,3188305.01043
382,rhabdomyosarcoma,7,CD90:MO,3,4,158.06,1971.52,803.676666667,1026699.81143
383,rhabdomyosarcoma,7,CD99:MO,4,3,171.87,808.28,543.97,77673.7547333
384,rhabdomyosarcoma,7,cyCD3:MO,1,6,766.38,766.38,766.38,0.0
385,rhabdomyosarcoma,7,cyCD3+CD19:MO,0,7,,,0.0,0.0
386,rhabdomyosarcoma,7,cyCD79a:MO,1,6,137.47,137.47,137.47,0.0
387,rhabdomyosarcoma,7,EPCAM:MO,4,3,153.0,406.7,260.43,13466.6144667
388,rhabdomyosarcoma,7,Epcam+CD4:MO,0,7,,,0.0,0.0
389,rhabdomyosarcoma,7,FSC-A:MO,4,3,85575.04,179384.39,137250.68,2034253361.74
390,rhabdomyosarcoma,7,FSC-H:MO,3,4,64868.5,130959.0,94141.3333333,1134681930.08
391,rhabdomyosarcoma,7,GD2:MO,3,4,136.96,713.99,472.563333333,89892.8386333
392,rhabdomyosarcoma,7,HLADR:MO,1,6,15852.53,15852.53,15852.53,0.0
393,rhabdomyosarcoma,7,MPO:MO,1,6,4180.93,4180.93,4180.93,0.0
394,rhabdomyosarcoma,7,nuMIOGENIN:MO,0,7,,,0.0,0.0
395,rhabdomyosarcoma,7,nuMYOD:MO,2,5,713.99,1174.15,944.07,105873.6128
396,rhabdomyosarcoma,7,OCT3/4:MO,0,7,,,0.0,0.0
397,rhabdomyosarcoma,7,SSC-A:MO,4,3,31201.1,47095.66,36549.63,51121305.0679
398,rhabdomyosarcoma,7,SSC-H:MO,3,4,18079.0,19034.0,18647.3333333,252758.333333
399,rhabdomyosarcoma,7,BV421:N,2,5,500.7,1278.3,889.5,302330.88
400,rhabdomyosarcoma,7,CD10:N,2,5,333.87,3063.09,1698.48,3724320.9042
401,rhabdomyosarcoma,7,CD105:N,1,6,179.73,179.73,179.73,0.0
402,rhabdomyosarcoma,7,CD117:N,2,5,0.0,225.77,112.885,25486.04645
403,rhabdomyosarcoma,7,CD123:N,1,6,1123.5,1123.5,1123.5,0.0
404,rhabdomyosarcoma,7,CD14:N,1,6,2286.78,2286.78,2286.78,0.0
405,rhabdomyosarcoma,7,CD15:N,0,7,,,0.0,0.0
406,rhabdomyosarcoma,7,CD16:N,1,6,38859.85,38859.85,38859.85,0.0
407,rhabdomyosarcoma,7,CD19:N,1,6,53.09,53.09,53.09,0.0
408,rhabdomyosarcoma,7,CD19_CD4:N,0,7,,,0.0,0.0
