,grupo,linhas,marcador,dados,nulos,min,max,media,variancia
498,germ cell tumor,10,cyCD3:NK,0,10,,,0.0,0.0
499,germ cell tumor,10,cyCD3+CD19:NK,4,6,-56.68,265.08,74.7775,22573.5150917
500,germ cell tumor,10,cyCD79a:NK,0,10,,,0.0,0.0
501,germ cell tumor,10,EPCAM:NK,3,7,4.56,43.28,28.1333333333,428.066133333
502,germ cell tumor,10,Epcam+CD4:NK,4,6,102.82,220.23,138.925,3068.1607
503,germ cell tumor,10,FSC-A:NK,9,1,80284.5,108370.99,91496.4822222,82748424.411
504,germ cell tumor,10,FSC-H:NK,9,1,68390.0,93411.5,78254.5,72841465.9375
505,germ cell tumor,10,GD2:NK,5,5,50.81,3460.11,780.524,2245717.62068
506,germ cell tumor,10,HLADR:NK,0,10,,,0.0,0.0
507,germ cell tumor,10,MPO:NK,0,10,,,0.0,0.0
508,germ cell tumor,10,nuMIOGENIN:NK,4,6,124.71,300.58,184.1125,6255.36649167
509,germ cell tumor,10,nuMYOD:NK,1,9,106.77,106.77,106.77,0.0
510,germ cell tumor,10,OCT3/4:NK,0,10,,,0.0,0.0
511,germ cell tumor,10,SSC-A:NK,9,1,7125.84,16585.92,11493.54,10263819.9583
512,germ cell tumor,10,SSC-H:NK,5,5,6879.0,11704.0,8165.1,4057191.8
513,germ cell tumor,10,BV421:RC,0,10,,,0.0,0.0
514,germ cell tumor,10,CD10:RC,0,10,,,0.0,0.0
515,germ cell tumor,10,CD105:RC,0,10,,,0.0,0.0
516,germ cell tumor,10,CD117:RC,0,10,,,0.0,0.0
517,germ cell tumor,10,CD123:RC,0,10,,,0.0,0.0
518,germ cell tumor,10,CD14:RC,0,10,,,0.0,0.0
519,germ cell tumor,10,CD15:RC,0,10,,,0.0,0.0
520,germ cell tumor,10,CD16:RC,0,10,,,0.0,0.0
521,germ cell tumor,10,CD19:RC,0,10,,,0.0,0.0
522,germ cell tumor,10,CD19_CD4:RC,0,10,,,0.0,0.0
523,germ cell tumor,10,CD19+TCRGD:RC,0,10,,,0.0,0.0
524,germ cell tumor,10,CD1a:RC,0,10,,,0.0,0.0
525,germ cell tumor,10,CD2:RC,0,10,,,0.0,0.0
526,germ cell tumor,10,CD20:RC,0,10,,,0.0,0.0
527,germ cell tumor,10,CD20+CD4:RC,0,10,,,0.0,0.0
528,germ cell tumor,10,CD21:RC,0,10,,,0.0,0.0
529,germ cell tumor,10,CD22:RC,0,10,,,0.0,0.0
530,germ cell tumor,10,CD24:RC,0,10,,,0.0,0.0
531,germ cell tumor,10,CD271:RC,0,10,,,0.0,0.0
532,germ cell tumor,10,CD28:RC,0,10,,,0.0,0.0
533,germ cell tumor,10,CD3:RC,0,10,,,0.0,0.0
534,germ cell tumor,10,CD30:RC,0,10,,,0.0,0.0
535,germ cell tumor,10,CD309:RC,0,10,,,0.0,0.0
536,germ cell tumor,10,CD34:RC,0,10,,,0.0,0.0
537,germ cell tumor,10,CD38:RC,0,10,,,0.0,0.0
538,germ cell tumor,10,CD4:RC,0,10,,,0.0,0.0
539,germ cell tumor,10,CD44:RC,0,10,,,0.0,0.0
540,germ cell tumor,10,CD45:RC,0,10,,,0.0,0.0
541,germ cell tumor,10,CD5:RC,0,10,,,0.0,0.0
542,germ cell tumor,10,CD56:RC,0,10,,,0.0,0.0
543,germ cell tumor,10,CD56+IgK:RC,0,10,,,0.0,0.0
544,germ cell tumor,10,CD57:RC,0,10,,,0.0,0.0
545,germ cell tumor,10,CD58:RC,0,10,,,0.0,0.0
546,germ cell tumor,10,CD7:RC,0,10,,,0.0,0.0
547,germ cell tumor,10,CD71:RC,0,10,,,0.0,0.0
548,germ cell tumor,10,CD8:RC,0,10,,,0.0,0.0
549,germ cell tumor,10,CD8+IgL:RC,0,10,,,0.0,0.0
550,germ cell tumor,10,CD81:RC,0,10,,,0.0,0.0
551,germ cell tumor,10,CD8-CD99:RC,0,10,,,0.0,0.0
552,germ cell tumor,10,CD9:RC,0,10,,,0.0,0.0
553,germ cell tumor,10,CD90:RC,0,10,,,0.0,0.0
554,germ cell tumor,10,CD99:RC,0,10,,,0.0,0.0
555,germ cell tumor,10,cyCD3:RC,0,10,,,0.0,0.0
556,germ cell tumor,10,cyCD3+CD19:RC,0,10,,,0.0,0.0
557,germ cell tumor,10,cyCD79a:RC,0,10,,,0.0,0.0
558,germ cell tumor,10,EPCAM:RC,0,10,,,0.0,0.0
559,germ cell tumor,10,Epcam+CD4:RC,0,10,,,0.0,0.0
560,germ cell tumor,10,FSC-A:RC,0,10,,,0.0,0.0
561,germ cell tumor,10,FSC-H:RC,0,10,,,0.0,0.0
562,germ cell tumor,10,GD2:RC,0,10,,,0.0,0.0
563,germ cell tumor,10,HLADR:RC,0,10,,,0.0,0.0
564,germ cell tumor,10,MPO:RC,0,10,,,0.0,0.0
565,germ cell tumor,10,nuMIOGENIN:RC,0,10,,,0.0,0.0
566,germ cell tumor,10,nuMYOD:RC,0,10,,,0.0,0.0
567,germ cell tumor,10,OCT3/4:RC,0,10,,,0.0,0.0
568,germ cell tumor,10,SSC-A:RC,0,10,,,0.0,0.0
569,germ cell tumor,10,SSC-H:RC,0,10,,,0.0,0.0
570,germ cell tumor,10,BV421:T,4,6,6387.75,31867.7,18831.955,168280710.618
571,germ cell tumor,10,CD10:T,0,10,,,0.0,0.0
572,germ cell tumor,10,CD105:T,0,10,,,0.0,0.0
573,germ cell tumor,10,CD117:T,0,10,,,0.0,0.0
574,germ cell tumor,10,CD123:T,0,10,,,0.0,0.0
575,germ cell tumor,10,CD14:T,0,10,,,0.0,0.0
576,germ cell tumor,10,CD15:T,0,10,,,0.0,0.0
577,germ cell tumor,10,CD16:T,0,10,,,0.0,0.0
578,germ cell tumor,10,CD19:T,0,10,,,0.0,0.0
579,germ cell tumor,10,CD19_CD4:T,2,8,3174.4,7496.97,5335.685,9342305.70245
580,germ cell tumor,10,CD19+TCRGD:T,2,8,44.01,135.6,89.805,4194.36405
581,germ cell tumor,10,CD1a:T,0,10,,,0.0,0.0
582,germ cell tumor,10,CD2:T,0,10,,,0.0,0.0
583,germ cell tumor,10,CD20:T,0,10,,,0.0,0.0
584,germ cell tumor,10,CD20+CD4:T,2,8,374.58,448.45,411.515,2728.38845
585,germ cell tumor,10,CD21:T,0,10,,,0.0,0.0
586,germ cell tumor,10,CD22:T,0,10,,,0.0,0.0
587,germ cell tumor,10,CD24:T,0,10,,,0.0,0.0
588,germ cell tumor,10,CD271:T,0,10,,,0.0,0.0
589,germ cell tumor,10,CD28:T,0,10,,,0.0,0.0
590,germ cell tumor,10,CD3:T,4,6,7435.12,15610.1,11563.3575,11141555.1766
591,germ cell tumor,10,CD30:T,0,10,,,0.0,0.0
592,germ cell tumor,10,CD309:T,0,10,,,0.0,0.0
593,germ cell tumor,10,CD34:T,0,10,,,0.0,0.0
594,germ cell tumor,10,CD38:T,2,8,1343.02,4662.57,3002.795,5509706.10125
595,germ cell tumor,10,CD4:T,0,10,,,0.0,0.0
596,germ cell tumor,10,CD44:T,0,10,,,0.0,0.0
597,germ cell tumor,10,CD45:T,7,3,2913.3,6599.26,4523.26428571,2184448.96446
